age_kyr,mean_ann_T_band_all,mean_ann_iceA_all
0,-2.04609131754563,38.5918935021916
1,-1.97750345323162,38.3371088802231
2,-1.91366882807119,38.1150790537861
3,-1.86350267566118,37.942338997937
4,-1.82400644041492,37.8046743370354
5,-1.797337000602,37.7174531444479
6,-1.77222099685784,37.6272318078941
7,-1.76884386214379,37.6216454092961
8,-1.78396349615619,37.6895499094708
9,-1.80047151458744,37.7854456157674
10,-1.82795935452985,37.8914215915525
11,-1.85870735712302,38.0103886852699
12,-1.89873012287421,38.1721723639515
13,-1.93252830337485,38.3092349628639
14,-1.96846602316731,38.4397759891706
15,-1.99405912370606,38.5225444878917
16,-2.03062505050812,38.6382365635949
17,-2.06463170335808,38.7407957412215
18,-2.10748325300822,38.8778598257974
19,-2.14772598539773,38.9888595091891
20,-2.18661289858043,39.0901916421137
21,-2.23608358966936,39.2319169517747
22,-2.29614842560123,39.4258258336314
23,-2.34468641480107,39.5518956669502
24,-2.40579992167569,39.7520704718807
25,-2.4590190068012,39.9150685476066
26,-2.52621089058779,40.1494014370323
27,-2.59092852983537,40.3840928706148
28,-2.65111591534681,40.6103714806818
29,-2.68999925452352,40.7525139297839
30,-2.72379777735513,40.9075408474224
31,-2.73078812882933,40.9504323466222
32,-2.71588315618516,40.915215175283
33,-2.68741836390706,40.8327358846279
34,-2.62881005725129,40.6422049151082
35,-2.55955905803005,40.4081652946499
36,-2.47956556442541,40.1488996281372
37,-2.38371937584418,39.8159514869606
38,-2.28672092446948,39.4861082947583
39,-2.18532604576527,39.1422680466197
40,-2.09145435364357,38.8184841092964
41,-1.99023132144416,38.4585226722684
42,-1.90662698533437,38.1573261167654
43,-1.83464792401001,37.9155132310709
44,-1.76238879412024,37.65843762086
45,-1.71297272396039,37.4707394730243
46,-1.65792062921606,37.2721983068074
47,-1.63263444301908,37.1779898332701
48,-1.6139592592468,37.1090342991875
49,-1.61124582397816,37.0899325030797
50,-1.61573754023791,37.0936789385202
51,-1.64305388120219,37.178610422653
52,-1.68141936714313,37.3205899875005
53,-1.73457650709836,37.4958908348008
54,-1.79380501677828,37.7087646371022
55,-1.86820824163746,37.977982032758
56,-1.96610519550126,38.3346679110645
57,-2.05979651454085,38.6710963343203
58,-2.14995412346729,38.9848246260795
59,-2.23647862959995,39.3038650666784
60,-2.33049624004138,39.6478430517228
61,-2.39640991984055,39.8705446385074
62,-2.46130706591597,40.1094021243973
63,-2.50189183393433,40.2425102447875
64,-2.52829336169067,40.326232501181
65,-2.5499321212193,40.3864722905077
66,-2.54244400937395,40.328230052581
67,-2.53507713067945,40.2905621872032
68,-2.52177421865079,40.2231127220335
69,-2.49257496006148,40.0875934306749
70,-2.46610026486346,39.9822038186757
71,-2.4408828038667,39.8837733026568
72,-2.41623424433838,39.7827994551531
73,-2.38972492316831,39.6797795838186
74,-2.36941813886401,39.6041768921569
75,-2.34426419209736,39.5218810816977
76,-2.32903578082992,39.4727356585546
77,-2.31431403916081,39.4347926474799
78,-2.31616315114475,39.4845116405495
79,-2.29545097642781,39.4470057085659
80,-2.28637331470935,39.4482931511199
81,-2.27095069294381,39.436867649052
82,-2.23539516660795,39.3578480162077
83,-2.19291327266785,39.2352095125517
84,-2.12620708267128,39.0262480016844
85,-2.04408803172374,38.746611877317
86,-1.96545993438745,38.4684524099829
87,-1.88525676452613,38.1955413046642
88,-1.80749954678156,37.9255193715595
89,-1.72659080657247,37.6352213428532
90,-1.65713726863548,37.3701656413803
91,-1.58746893523187,37.1051957090415
92,-1.53989446341233,36.9223853178388
93,-1.49992852576027,36.7395403638135
94,-1.47821949763432,36.631892323695
95,-1.47411204610376,36.5835769879101
96,-1.4922346822012,36.6273543845189
97,-1.5222755758398,36.7050177134887
98,-1.58284449519671,36.9087617063594
99,-1.65908936180394,37.1743346319451
100,-1.76999085043816,37.572599959499
101,-1.88716949163949,38.0060224748005
102,-2.0447456496643,38.6080839799635
103,-2.19876335174014,39.1909973603681
104,-2.35277319140758,39.7943261584485
105,-2.47565414937591,40.2601015528941
106,-2.56467152498888,40.588011179176
107,-2.61059224881842,40.7613040858178
108,-2.60708520837283,40.7350426613585
